ID_VENDA,DATA_HORA,ID_PRODUTO,QUANTIDADE,FORMA_PAGAMENTO
1001,14/02/2026 14:10,1,2,PIX
1002,14/02/2026 14:25,4,3,DINHEIRO
1003,14/02/2026 14:40,6,1,CARTÃO
1004,14/02/2026 15:00,2,5,PIX
1005,14/02/2026 15:15,10,1,CARTÃO
1006,14/02/2026 15:30,9,2,DINHEIRO
1007,14/02/2026 16:00,5,2,PIX
1008,14/02/2026 16:20,3,1,CARTÃO
1009,14/02/2026 16:45,7,4,PIX
1010,14/02/2026 17:10,8,2,DINHEIRO
1011,14/02/2026 17:30,6,2,CARTÃO
1012,14/02/2026 18:00,2,3,PIX
1013,14/02/2026 18:15,1,1,DINHEIRO
1014,14/02/2026 18:45,10,2,CARTÃO
1015,14/02/2026 19:00,4,2,PIX
